# Translation from CC-CEDICT,,,,,
# Creative Commons Attribution-Share Alike 3.0 License ,,,,,
Simplified,Pinyin,Edition,Level,Lesson,English
平常,píngcháng,1,1,7,/ordinary/common/usually/ordinarily/
早,zǎo,1,1,7,/early/morning/Good morning!/
怎么,zěnme,1,1,7,/variant of 怎麼|怎么[zen3 me5]/
这么,zhème,1,1,7,/so much/this much/how much?/this way/like this/
半夜,bànyè,1,1,7,/midnight/in the middle of the night/
功课,gōngkè,1,1,7,/homework/assignment/task/classwork/lesson/study/CL:門|门[men2]/
朋友,péngyou,1,1,7,/friend/CL:個|个[ge4]位[wei4]/
真,zhēn,1,1,7,/really/truly/indeed/real/true/genuine/
大家,dàjiā,1,1,7,/everyone/influential family/great expert/
开始,kāishǐ,1,1,7,/to begin/beginning/to start/initial/CL:個|个[ge4]/
上课,shàng kè,1,1,7,/to go to class/to attend class/to go to teach a class/
念,niàn,1,1,7,/to read/to study (a degree course)/to read aloud/to miss (sb)/idea/remembrance/twenty (banker's anti-fraud numeral corresponding to 廿 20)/
课文,kèwén,1,1,7,/text/CL:篇[pian1]/
录音,lùyīn,1,1,7,/to record (sound)/sound-recording/CL:個|个[ge4]/
男的,nán de,1,1,7,/male/
帅,shuài,1,1,7,/handsome/graceful/smart/commander in chief/
篇,piān,1,1,8,/sheet/piece of writing/bound set of bamboo slips used for record keeping (old)/classifier for written items: chapter article/
日记,rìjì,1,1,8,/diary/CL:則|则[ze2]本[ben3]
早上,zǎoshang,1,1,8,/early morning/CL:個|个[ge4]/
起床,qǐ chuáng,1,1,8,/to get out of bed/to get up/
床,chuáng,1,1,8,/bed/couch/classifier for beds/CL:張|张[zhang1]/
洗澡,xǐ zǎo,1,1,8,/to bathe/to take a shower/
早饭,zǎofàn,1,1,8,/breakfast/CL:份[fen4]頓|顿[dun4]
一边…一边,yìbiān…yìbiān…,1,1,8,
教室,jiàoshì,1,1,8,/classroom/CL:間|间[jian1]/
发音,fāyīn,1,1,8,/to pronounce/pronunciation/to emit sound/
新,xīn,1,1,8,/new/newly/meso- (chemistry)/
电脑,diànnǎo,1,1,8,/computer/CL:臺|台[tai2]/
脑,nǎo,1,1,8,/brain/mind/head/essence/
中午,zhōngwǔ,1,1,8,/noon/midday/CL:個|个[ge4]/
餐厅,cāntīng,1,1,8,/dining-hall/dining-room/restaurant/CL:間|间[jian1]家[jia1]/
午饭,wǔfàn,1,1,8,/lunch/CL:份[fen4]頓|顿[dun4]
报,bào,1,1,8,/to announce/to inform/report/newspaper/recompense/revenge/CL:份[fen4]張|张[zhang1]/
宿舍,sùshè,1,1,8,/dormitory/dorm room/living quarters/hostel/CL:間|间[jian1]/
到,dào,1,1,8,/to (a place)/until (a time)/up to/to go/to arrive/
那儿,nàr,1,1,8,/there/
…的时候,…de shíhòu,1,1,8,#N/A
正在,zhèngzài,1,1,8,/in the process of (doing something or happening)/while (doing)/
以前,yǐqián,1,1,8,/before/formerly/previous/ago/
告诉,gàosu,1,1,8,/to tell/to inform/to let know/
已经,yǐjīng,1,1,8,/already/
封,fēng,1,1,8,/to confer/to grant/to bestow a title/to seal/classifier for sealed objects esp. letters/
信,xìn,1,1,8,/letter/mail/to trust/to believe/to profess faith in/truthful/confidence/trust/at will/at random/
最近,zuìjìn,1,1,8,/recent/recently/these days/latest/soon/nearest (of locations)/shortest (of routes)/
最,zuì,1,1,8,/most/the most/-est/
近,jìn,1,1,8,/near/close to/approximately/
学期,xuéqī,1,1,8,/term/semester/CL:個|个[ge4]/
除了…以外,chúle…yǐwài,1,1,8,
专业,zhuānyè,1,1,8,/specialty/specialized field/main field of study (at university)/major/CL:門|门[men2]個|个[ge4]/professional/
会,huì,1,1,8,/to balance an account/accountancy/accounting/
开始,kāishǐ,1,1,8,/to begin/beginning/to start/initial/CL:個|个[ge4]/
习惯,xíguàn,1,1,8,/habit/custom/usual practice/to be used to/CL:個|个[ge4]/
后来,hòulái,1,1,8,/afterwards/later/
清楚,qīngchu,1,1,8,/clear/distinct/to understand thorougly/to be clear about/
进步,jìnbù,1,1,8,/progress/improvement/to improve/to progress/CL:個|个[ge4]/
音乐会,yīnyuèhuì,1,1,8,/concert/CL:場|场[chang3]/
希望,xīwàng,1,1,8,/to wish for/to desire/hope CL:個|个[ge4]/
能,néng,1,1,8,/to be able to/to be capable of/ability/capability/able/capable/can possibly/(usually used in the negative) to have the possibility of/
用,yòng,1,1,8,/to use/to employ/to have to/to eat or drink/expense or outlay/usefulness/hence/therefore/
笑,xiào,1,1,8,/laugh/smile/CL:個|个[ge4]/
祝,zhù,1,1,8,/to wish/to express good wishes/to pray/(old) wizard/
意文,yìwén,1,1,8,
买,mǎi,1,1,9,/to buy/to purchase/
东西,dōngxi,1,1,9,/thing/stuff/person/CL:個|个[ge4]件[jian4]/
售货员,shòuhuòyuán,1,1,9,/salesperson/CL:個|个[ge4]/
